gpu__compute_memory_access_throughput_internal_activity.min.pct_of_peak_sustained_elapsed [%],0.15
gpu__compute_memory_access_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed [%],0.24
gpu__compute_memory_request_throughput.avg.pct_of_peak_sustained_elapsed [%],0.97
gpu__compute_memory_request_throughput.max.pct_of_peak_sustained_elapsed [%],8.89
gpu__compute_memory_request_throughput.min.pct_of_peak_sustained_elapsed [%],0.91
gpu__compute_memory_request_throughput.sum.pct_of_peak_sustained_elapsed [%],0.97
gpu__compute_memory_request_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed [%],0
gpu__compute_memory_request_throughput_internal_activity.max.pct_of_peak_sustained_elapsed [%],0
gpu__compute_memory_request_throughput_internal_activity.min.pct_of_peak_sustained_elapsed [%],0
gpu__compute_memory_request_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed [%],0
gpu__compute_memory_throughput.max.pct_of_peak_sustained_elapsed [%],8.89
gpu__compute_memory_throughput.min.pct_of_peak_sustained_elapsed [%],0.91
gpu__compute_memory_throughput.sum.pct_of_peak_sustained_elapsed [%],0.97
gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed [%],0.97
gpu__dram_throughput.max.pct_of_peak_sustained_elapsed [%],1.05
gpu__dram_throughput.min.pct_of_peak_sustained_elapsed [%],0.91
gpu__dram_throughput.sum.pct_of_peak_sustained_elapsed [%],0.97
gpu__time_duration.avg [us],63.36
gpu__time_duration.max [us],63.36
gpu__time_duration.min [us],63.36
